"2021-12-07 23:02:35,781" 3 Pressed
"2021-12-07 23:02:35,814" '2' Released
"2021-12-07 23:02:35,830" 2 Pressed
"2021-12-07 23:02:35,893" '3' Released
"2021-12-07 23:02:35,957" 3 Pressed
"2021-12-07 23:02:35,973" '2' Released
"2021-12-07 23:02:36,038" 2 Pressed
"2021-12-07 23:02:36,077" '3' Released
"2021-12-07 23:02:36,125" '2' Released
"2021-12-07 23:02:37,062" r Pressed
"2021-12-07 23:02:37,166" 'r' Released
"2021-12-07 23:02:37,254" r Pressed
"2021-12-07 23:02:37,382" 'r' Released
"2021-12-07 23:02:38,045" a Pressed
"2021-12-07 23:02:38,118" e Pressed
"2021-12-07 23:02:38,229" 'e' Released
"2021-12-07 23:02:38,256" 'a' Released
"2021-12-07 23:02:38,517" d Pressed
"2021-12-07 23:02:38,638" a Pressed
"2021-12-07 23:02:38,677" 'd' Released
"2021-12-07 23:02:39,174" 'a' Released
"2021-12-07 23:02:39,366" d Pressed
"2021-12-07 23:02:39,461" 1 Pressed
"2021-12-07 23:02:39,542" 'd' Released
"2021-12-07 23:02:39,629" '1' Released
"2021-12-07 23:02:39,782" 2 Pressed
"2021-12-07 23:02:39,894" '2' Released
"2021-12-07 23:02:41,069" a Pressed
"2021-12-07 23:02:41,550" 4 Pressed
"2021-12-07 23:02:41,646" '4' Released
"2021-12-07 23:02:42,345" 'a' Released
"2021-12-07 23:02:42,381" a Pressed
"2021-12-07 23:02:42,454" 3 Pressed
"2021-12-07 23:02:42,526" 'a' Released
"2021-12-07 23:02:42,582" '3' Released
"2021-12-07 23:02:43,286" a Pressed
"2021-12-07 23:02:43,511" 'a' Released
"2021-12-07 23:02:43,957" d Pressed
"2021-12-07 23:02:44,245" 'd' Released
"2021-12-07 23:02:44,310" 'w' Released
"2021-12-07 23:02:49,054" w Pressed
"2021-12-07 23:02:49,213" 3 Pressed
"2021-12-07 23:02:49,334" '3' Released
"2021-12-07 23:02:50,269" d Pressed
"2021-12-07 23:02:50,470" 'd' Released
"2021-12-07 23:02:50,982" d Pressed
"2021-12-07 23:02:51,094" 'd' Released
"2021-12-07 23:02:51,359" 'w' Released
"2021-12-07 23:02:51,462" 2 Pressed
"2021-12-07 23:02:51,470" 1 Pressed
"2021-12-07 23:02:51,558" '2' Released
"2021-12-07 23:02:51,559" '1' Released
"2021-12-07 23:02:51,629" 2 Pressed
"2021-12-07 23:02:51,630" 1 Pressed
"2021-12-07 23:02:51,686" '2' Released
"2021-12-07 23:02:51,686" '1' Released
"2021-12-07 23:02:51,758" 2 Pressed
"2021-12-07 23:02:51,760" 1 Pressed
"2021-12-07 23:02:51,846" '2' Released
"2021-12-07 23:02:51,847" '1' Released
"2021-12-07 23:02:52,230" w Pressed
"2021-12-07 23:02:52,501" 3 Pressed
"2021-12-07 23:02:52,646" '3' Released
"2021-12-07 23:02:53,917" d Pressed
"2021-12-07 23:02:54,229" 'd' Released
"2021-12-07 23:02:54,597" d Pressed
"2021-12-07 23:02:54,934" 'd' Released
"2021-12-07 23:02:55,350" d Pressed
"2021-12-07 23:02:55,701" 'd' Released
"2021-12-07 23:02:57,166" d Pressed
"2021-12-07 23:02:57,462" 'd' Released
"2021-12-07 23:02:57,901" d Pressed
"2021-12-07 23:02:58,255" 'd' Released
"2021-12-07 23:02:58,669" d Pressed
"2021-12-07 23:02:59,053" 'd' Released
"2021-12-07 23:02:59,670" d Pressed
"2021-12-07 23:02:59,734" 'w' Released
"2021-12-07 23:03:00,063" w Pressed
"2021-12-07 23:03:00,141" 'd' Released
"2021-12-07 23:03:00,485" d Pressed
"2021-12-07 23:03:00,846" 'd' Released
"2021-12-07 23:03:01,238" d Pressed
"2021-12-07 23:03:01,533" 'd' Released
"2021-12-07 23:03:02,934" d Pressed
"2021-12-07 23:03:03,182" 'd' Released
"2021-12-07 23:03:03,661" d Pressed
"2021-12-07 23:03:03,846" 'd' Released
"2021-12-07 23:03:03,967" a Pressed
"2021-12-07 23:03:04,472" a Pressed
"2021-12-07 23:03:04,504" a Pressed
"2021-12-07 23:03:04,534" a Pressed
"2021-12-07 23:03:04,580" a Pressed
"2021-12-07 23:03:04,610" a Pressed
"2021-12-07 23:03:04,641" a Pressed
"2021-12-07 23:03:04,672" a Pressed
"2021-12-07 23:03:04,704" a Pressed
"2021-12-07 23:03:04,734" a Pressed
"2021-12-07 23:03:04,767" a Pressed
"2021-12-07 23:03:04,797" a Pressed
"2021-12-07 23:03:04,829" a Pressed
"2021-12-07 23:03:04,875" a Pressed
"2021-12-07 23:03:04,905" a Pressed
"2021-12-07 23:03:04,936" a Pressed
"2021-12-07 23:03:04,966" a Pressed
"2021-12-07 23:03:04,997" a Pressed
"2021-12-07 23:03:05,026" a Pressed
"2021-12-07 23:03:05,072" a Pressed
"2021-12-07 23:03:05,094" 'a' Released
"2021-12-07 23:03:05,438" d Pressed
"2021-12-07 23:03:05,599" 'd' Released
"2021-12-07 23:03:05,862" 'w' Released
"2021-12-07 23:03:05,865" a Pressed
"2021-12-07 23:03:06,302" w Pressed
